metric,terrain_1,terrain_2,distance
salida_dem_branchLength,andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,0.8010255870000001
salida_dem_branchLength,andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,nouvelle_aquitaine_45.0_45.5_1.0_1.5,0.9400545332777781
salida_dem_branchLength,andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,nouvelle_aquitanie_45.5_46.0_1.5_2.0,0.8306707299135809
salida_dem_branchLength,andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,1.5676662559382712
salida_dem_branchLength,andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733,1.821282000277778
salida_dem_branchLength,himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,0.027162391848765427
salida_dem_branchLength,himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,nevada_tile_36.3481537_36.8481537_-115.148718_-114.648718,1.348363678608025
salida_dem_branchLength,himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,1.1611068530308644
salida_dem_branchLength,himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,nouvelle_aquitaine_45.0_45.5_1.0_1.5,1.2997245767777772
salida_dem_branchLength,himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,nouvelle_aquitanie_45.5_46.0_1.5_2.0,1.1903407734135794
salida_dem_branchLength,himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,sahara_tile_27.8639743_28.3639743_3.5050733_4.0050733,1.9273362994382721
salida_dem_branchLength,himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,sahara_tile_27.8639743_28.3639743_4.0050733_4.5050733,2.180952043777779
salida_dem_branchLength,himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,nevada_tile_36.3481537_36.8481537_-115.148718_-114.648718,1.3451348750308638
salida_dem_branchLength,himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,nevada_tile_36.8481537_37.3481537_-114.648718_-114.148718,1.157592014083333
salida_dem_branchLength,himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,nouvelle_aquitaine_45.0_45.5_1.0_1.5,1.29652125462037
