terrain,metric,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,mean,median,std,min,max,skew,kurtosis,num_points
alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,salida_dem_branchLength,0.013898148148148147,0.012674691358024692,0.04699074074074074,0.11642067901234568,0.1383070987654321,0.13917623456790124,0.12455864197530864,0.1026391975308642,0.07937037037037037,0.05985216049382716,0.04349475308641975,0.0318179012345679,0.023313271604938273,0.017207407407407407,0.012920061728395061,0.009644753086419752,0.007417592592592593,0.005669753086419753,0.004278395061728395,0.003069753086419753,0.0023950617283950617,0.0017404320987654321,0.0010824074074074074,0.000732716049382716,0.0005138888888888889,0.0003203703703703704,0.00018240740740740742,0.00013024691358024692,8.271604938271605e-05,7.037037037037036e-05,2.777777777777778e-05,0.0,3.6831785833580226,3.29066,1.9086159352998844,0.0,16.2914,1.3136973055414514,2.7109602290760453,3240000
alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,salida_dem_curvProfile,3.1043049569851986e-07,0.0,1.2417219827940794e-06,5.587748922573357e-06,1.1175497845146713e-05,3.135348006555051e-05,8.536838631709295e-05,0.00020115896121264084,0.0004653353130520812,0.0009378105275052284,0.0020013454057683576,0.0047055054537981636,0.014558879817764882,0.0858827696484654,0.5701841442657434,0.2816160266572875,0.03160399747557921,0.005515729047571301,0.001499379294223851,0.0004678187570176694,0.00015676740032775251,4.594371336338094e-05,1.676324676772007e-05,4.656457435477798e-06,6.208609913970397e-07,0.0,3.1043049569851986e-07,0.0,0.0,0.0,0.0,0.0,8.658142975464703e-05,0.000147619,0.002524111137544483,-0.0461482,0.0367925,-0.944220450611566,11.01865765094127,3221333
alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,salida_dem_slopeGradient,0.2746145061728395,0.3848885802469136,0.2111675925925926,0.08299074074074074,0.027414506172839505,0.010203395061728395,0.004324382716049383,0.001971604938271605,0.0010265432098765432,0.0005740740740740741,0.00033919753086419756,0.00019876543209876543,0.00011512345679012346,6.203703703703704e-05,3.827160493827161e-05,2.5308641975308642e-05,1.3580246913580247e-05,1.2345679012345678e-05,5.246913580246914e-06,4.012345679012345e-06,2.469135802469136e-06,3.0864197530864196e-06,1.5432098765432098e-06,9.259259259259259e-07,6.17283950617284e-07,3.08641975308642e-07,9.259259259259259e-07,0.0,0.0,3.08641975308642e-07,0.0,0.0,0.5306751866327476,0.46366,0.36275744437746055,0.0,8.89088,1.8991228832153082,8.97501404050745,3240000
alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,salida_dem_streamArea,0.3454867283950617,0.21830154320987655,0.1326608024691358,0.10950524691358025,0.06369104938271605,0.04021574074074074,0.026476543209876545,0.017332716049382715,0.01160462962962963,0.008339506172839507,0.005975308641975308,0.004742283950617284,0.0036765432098765432,0.002769753086419753,0.0023151234567901236,0.0017450617283950617,0.0013351851851851851,0.0010447530864197531,0.0008212962962962963,0.0005901234567901234,0.0004888888888888889,0.0003345679012345679,0.00020833333333333335,0.00013487654320987655,9.506172839506173e-05,6.820987654320988e-05,2.962962962962963e-05,7.4074074074074075e-06,2.469135802469136e-06,6.17283950617284e-07,0.0,0.0,1.4828323490308641,1.31951,0.5432704621017784,1.0,6.65338,2.4106571089788167,8.77708090751049,3240000
alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,salida_dem_surfaceRoughness,0.09974259259259259,0.18897345679012345,0.15351512345679014,0.12421172839506173,0.10144783950617284,0.07971265432098766,0.060585185185185186,0.04729074074074074,0.036838888888888886,0.02984475308641975,0.022900308641975307,0.017367283950617284,0.012754012345679012,0.008443827160493828,0.006174382716049383,0.0037367283950617285,0.0025435185185185183,0.00178179012345679,0.0010444444444444444,0.0005317901234567901,0.00020277777777777777,0.00017376543209876542,0.00014135802469135802,4.04320987654321e-05,6.17283950617284e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06665467445052956,0.0525315,0.051616027105223825,-8.81961e-13,0.36679,1.29745269152073,1.6781641359414126,3240000
alps_tile_44.3491225_44.8491225_6.2590871_6.7590871,salida_dem_tpi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5370370370370374e-05,0.001222530864197531,0.018153703703703703,0.12138364197530864,0.4675740740740741,0.28197253086419755,0.08163117283950617,0.02308240740740741,0.004373765432098766,0.00048641975308641976,6.018518518518519e-05,1.419753086419753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08811528974494202,-3.47467,47.912360035462605,-239.502,347.192,0.5263690020497303,1.5211816022782285,3240000
alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,salida_dem_branchLength,0.02853641975308642,0.0453891975308642,0.10871172839506173,0.16522685185185185,0.16025216049382715,0.1416787037037037,0.11056851851851852,0.08001234567901234,0.054312345679012344,0.036142592592592594,0.023725925925925925,0.015967901234567903,0.01073148148148148,0.006868518518518519,0.004533333333333334,0.0028709876543209878,0.0017830246913580247,0.001183641975308642,0.0007799382716049383,0.00036512345679012343,0.00019382716049382717,9.228395061728396e-05,4.722222222222222e-05,2.5925925925925925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.867967448891975,2.61313,1.493414176437123,0.0,12.6292,1.032851323941382,1.977842536685551,3240000
alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,salida_dem_curvProfile,0.0,0.0,0.0,0.0,6.17283950617284e-07,1.8518518518518519e-06,7.098765432098765e-06,1.2345679012345678e-05,6.17283950617284e-05,0.0002080246913580247,0.0007570987654320988,0.0028805555555555555,0.013657716049382715,0.09267808641975309,0.6233898148148148,0.22114012345679013,0.031937654320987656,0.008837037037037037,0.003087962962962963,0.0009882716049382716,0.00026512345679012344,7.037037037037036e-05,1.574074074074074e-05,1.8518518518518519e-06,3.08641975308642e-07,6.17283950617284e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.290500992366734e-05,-1.22842e-05,0.002426866631321706,-0.0317874,0.0347102,0.5646110191470369,7.31570920058922,3240000
alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,salida_dem_slopeGradient,0.6196805555555556,0.2888882716049383,0.07402191358024691,0.014008333333333333,0.0023287037037037035,0.0006364197530864198,0.00023765432098765433,0.0001037037037037037,4.845679012345679e-05,2.345679012345679e-05,1.1728395061728396e-05,4.6296296296296296e-06,2.1604938271604937e-06,2.1604938271604937e-06,0.0,1.234567901234568e-06,6.17283950617284e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28350665984265455,0.235178,0.22498375256221764,0.0,4.99439,1.5735253055910567,5.325925815044558,3240000
alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,salida_dem_streamArea,0.4102851851851852,0.23553364197530866,0.12932685185185186,0.09525648148148148,0.04898364197530864,0.02832932098765432,0.01700246913580247,0.010983024691358024,0.007288271604938272,0.005092283950617284,0.0035277777777777777,0.002480246913580247,0.0017126543209876543,0.0012861111111111111,0.0009138888888888889,0.0006432098765432099,0.0005067901234567902,0.00033518518518518516,0.00019938271604938272,0.00012530864197530863,8.641975308641975e-05,6.574074074074074e-05,1.9753086419753087e-05,1.0802469135802469e-05,5.555555555555556e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3793255905061728,1.24573,0.429926071029787,1.0,5.76048,2.3401552154329672,8.788910259405498,3240000
alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,salida_dem_surfaceRoughness,0.30641882716049385,0.26103641975308645,0.16043086419753086,0.09812253086419753,0.0633354938271605,0.0431712962962963,0.028909876543209877,0.01688395061728395,0.009417283950617285,0.005235185185185186,0.0034108024691358024,0.0016098765432098765,0.000945679012345679,0.0005123456790123457,0.0002984567901234568,0.00014074074074074073,9.660493827160494e-05,2.3765432098765433e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03518456222784073,0.0260283,0.03182326337661412,0.000435595,0.272086,1.6103443071222387,3.3249266529514196,3240000
alps_tile_47.3491225_47.8491225_15.7590871_16.2590871,salida_dem_tpi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555556e-06,4.969135802469136e-05,0.0019925925925925927,0.05291327160493827,0.5818882716049383,0.3349935185185185,0.02664567901234568,0.0014799382716049383,3.148148148148148e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011429594862262025,-0.2066015,27.890430420819943,-225.164,206.074,0.05733997487139059,1.9257785125449667,3240000
andes_chile_tile_-27.4034293_-26.9034293_-69.4591329_-68.9591329,salida_dem_branchLength,0.027048148148148148,0.05296481481481481,0.12964567901234567,0.1624496913580247,0.14916018518518517,0.12772932098765433,0.10226481481481481,0.07493580246913581,0.051799382716049384,0.0356358024691358,0.02434722222222222,0.017140123456790123,0.012323765432098765,0.008811728395061728,0.006422222222222222,0.004901543209876544,0.003552777777777778,0.002732098765432099,0.0019098765432098766,0.001329320987654321,0.0009929012345679012,0.0007138888888888889,0.00047685185185185184,0.00029660493827160495,0.00021820987654320987,0.00013271604938271605,5.030864197530864e-05,1.419753086419753e-05,0.0,0.0,0.0,0.0,2.9163459880246907,2.58009,1.6940667282582338,0.0,14.6617,1.4440729272298132,3.4946158440704345,3240000
andes_chile_tile_-27.4034293_-26.9034293_-69.4591329_-68.9591329,salida_dem_curvProfile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.180072479890044e-07,2.4720289919560177e-06,0.00017366003668491025,0.003136695787168192,0.04144233003564666,0.7770019726791356,0.16364862827111237,0.01264442829385503,0.0017471064900649155,0.0001962173012365089,5.871068855895542e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.131214636474638e-05,4.261735e-05,0.0014203617580590207,-0.0150868,0.0151044,0.40440155120802695,6.618117238223022,3236208
andes_chile_tile_-27.4034293_-26.9034293_-69.4591329_-68.9591329,salida_dem_slopeGradient,0.6416435185185185,0.30595586419753085,0.0494354938271605,0.002665432098765432,0.00022839506172839507,4.814814814814815e-05,1.6666666666666667e-05,5.246913580246914e-06,1.234567901234568e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2566018048734261,0.223285,0.18453304716300722,0.0,2.69833,0.9376419656314239,1.0068521335984997,3240000
andes_chile_tile_-27.4034293_-26.9034293_-69.4591329_-68.9591329,salida_dem_streamArea,0.4599765432098765,0.2140104938271605,0.11048024691358024,0.08415771604938271,0.04686450617283951,0.028504320987654323,0.01750030864197531,0.010924074074074074,0.007150617283950617,0.005042283950617284,0.00361358024691358,0.002738271604938272,0.0021302469135802467,0.001661111111111111,0.0013407407407407407,0.0010358024691358024,0.0008484567901234568,0.0005969135802469136,0.00041080246913580246,0.000354320987654321,0.00031975308641975307,0.0001830246913580247,6.820987654320988e-05,4.41358024691358e-05,2.5e-05,8.02469135802469e-06,3.7037037037037037e-06,4.012345679012345e-06,2.777777777777778e-06,0.0,0.0,0.0,1.3659736774413587,1.24573,0.46578608232268903,1.0,6.57169,2.6975996028866325,11.311715141099326,3240000
andes_chile_tile_-27.4034293_-26.9034293_-69.4591329_-68.9591329,salida_dem_surfaceRoughness,0.3541311728395062,0.24579969135802468,0.1894858024691358,0.11225061728395062,0.05343117283950617,0.024587345679012346,0.0118570987654321,0.0056,0.002125,0.0006682098765432099,6.38888888888889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028602174504776225,0.0241293,0.023926719951039593,0.000189461,0.165728,1.125247790485883,1.432318965029249,3240000
andes_chile_tile_-27.4034293_-26.9034293_-69.4591329_-68.9591329,salida_dem_tpi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032719135802469134,0.06113086419753087,0.5942645061728395,0.3011882716049383,0.03855925925925926,0.0015648148148148149,2.037037037037037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999300286002072,-0.5306735,30.18762749967194,-142.701,185.478,0.09853281553924997,1.4445885868941524,3240000
andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,salida_dem_branchLength,0.02477469135802469,0.0360462962962963,0.09571141975308642,0.15038827160493828,0.15171697530864198,0.13516234567901234,0.11071265432098766,0.08305092592592593,0.059265740740740744,0.042258333333333335,0.029764814814814813,0.021841975308641976,0.015914814814814816,0.011596296296296296,0.008480246913580246,0.0061811728395061724,0.004646296296296296,0.003771604938271605,0.002560493827160494,0.0018651234567901235,0.0015228395061728395,0.0009756172839506173,0.0006209876543209876,0.00040648148148148146,0.00030092592592592595,0.0001595679012345679,8.796296296296296e-05,7.191358024691357e-05,5.123456790123457e-05,4.5370370370370374e-05,2.5308641975308642e-05,2.1296296296296296e-05,3.161130842913579,2.79793,1.7926996567002096,0.0,16.8843,1.4138880885848335,3.36576116267714,3240000
andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,salida_dem_curvProfile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2416063530513873e-06,4.966425412205549e-06,3.3523371532387454e-05,0.00028743187073139616,0.002694906589298036,0.03846589602229677,0.7784390711170391,0.16982815857672182,0.008737494308010876,0.0012720257087011464,0.00019958822125301052,3.290256835586176e-05,2.4832127061027747e-06,3.1040158826284683e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.053295696905138e-05,6.31287e-05,0.0013537640894691607,-0.0195718,0.0210543,0.1907935393752331,7.917271273038589,3221633
andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,salida_dem_slopeGradient,0.6233234567901235,0.305145987654321,0.06575092592592592,0.004776234567901235,0.0006472222222222222,0.00020925925925925927,8.271604938271605e-05,3.549382716049383e-05,1.419753086419753e-05,8.950617283950618e-06,4.6296296296296296e-06,0.0,9.259259259259259e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2722524094483643,0.23289,0.19858088040320446,0.0,3.77516,1.148988177287236,2.741455947232873,3240000
andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,salida_dem_streamArea,0.42145185185185186,0.21952283950617285,0.11881512345679013,0.09109660493827161,0.050807407407407405,0.031673765432098766,0.01982037037037037,0.012848456790123457,0.008473148148148148,0.005980246913580247,0.004476851851851852,0.0033552469135802467,0.002666358024691358,0.0022277777777777777,0.0016898148148148148,0.0013012345679012346,0.001004320987654321,0.0008339506172839506,0.0006438271604938271,0.00043703703703703705,0.0002993827160493827,0.00018919753086419754,0.00017006172839506174,9.012345679012346e-05,5.277777777777778e-05,2.962962962962963e-05,1.8518518518518518e-05,1.2037037037037037e-05,8.333333333333334e-06,1.234567901234568e-06,0.0,2.469135802469136e-06,1.4033197981790129,1.24573,0.4971887423002633,1.0,7.22724,2.66285993364867,10.863066477401942,3240000
andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,salida_dem_surfaceRoughness,0.3661490740740741,0.2520077160493827,0.17342345679012347,0.09871635802469136,0.0513179012345679,0.02836296296296296,0.013881172839506174,0.007727469135802469,0.004131172839506173,0.0021972222222222224,0.0011808641975308643,0.0006129629629629629,0.00020432098765432098,5.709876543209877e-05,3.0246913580246912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029083435204686266,0.0227693,0.026014458300434248,-1.32558e-11,0.226637,1.5486561923968745,3.366374615509786,3240000
andes_chile_tile_-27.9034293_-27.4034293_-69.4591329_-68.9591329,salida_dem_tpi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010895061728395062,0.003754320987654321,0.0604212962962963,0.5895444444444444,0.3003549382716049,0.04222716049382716,0.003452469135802469,0.00013641975308641976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012613765370866505,-1.34808,31.318696772311544,-191.962,208.155,0.28224019881008844,1.9052719477025128,3240000
himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,salida_dem_branchLength,0.0028370370370370372,0.00930432098765432,0.05170740740740741,0.1347509259259259,0.15866975308641976,0.15031172839506174,0.1268537037037037,0.09820679012345679,0.07221296296296296,0.05364475308641975,0.03914691358024691,0.029253395061728395,0.021437962962962964,0.015884259259259258,0.011704012345679013,0.008253703703703704,0.0058691358024691356,0.0038944444444444443,0.0025151234567901233,0.001707716049382716,0.0009700617283950617,0.0005756172839506173,0.0001734567901234568,0.00010555555555555555,9.259259259259259e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5208008864135785,3.13503,1.6853270871467039,0.0,12.9734,1.2462165213810854,1.8538681604909515,3240000
himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,salida_dem_curvProfile,0.0,0.0,0.0,0.0,6.17283950617284e-07,0.0,6.17283950617284e-07,0.0,4.3209876543209875e-06,4.351851851851852e-05,0.0003265432098765432,0.001928395061728395,0.009808641975308643,0.0773354938271605,0.6465222222222222,0.23116635802469135,0.023362037037037035,0.006794444444444444,0.00200679012345679,0.0005475308641975309,0.0001243827160493827,2.4074074074074074e-05,3.7037037037037037e-06,3.08641975308642e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9767037351615847e-05,-1.455245e-05,0.002125448266666674,-0.0321892,0.026359,0.635758878446236,7.172434480703766,3240000
himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,salida_dem_slopeGradient,0.1303783950617284,0.4193996913580247,0.3086929012345679,0.10113734567901235,0.027101851851851853,0.008366358024691357,0.0028753086419753084,0.001147530864197531,0.0004651234567901235,0.0002132716049382716,0.00010432098765432099,6.0493827160493825e-05,2.5308641975308642e-05,1.574074074074074e-05,7.71604938271605e-06,4.6296296296296296e-06,1.5432098765432098e-06,1.234567901234568e-06,3.08641975308642e-07,6.17283950617284e-07,3.08641975308642e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6066075315588894,0.563853,0.3052879957691651,0.0,6.2202,1.4001318184367806,5.20955960577426,3240000
himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,salida_dem_streamArea,0.3721206790123457,0.22811450617283952,0.12607592592592592,0.09784537037037037,0.05637037037037037,0.03608024691358025,0.02378364197530864,0.015495061728395062,0.011052469135802469,0.008257716049382717,0.0064774691358024696,0.004879320987654321,0.0038089506172839507,0.002740432098765432,0.002053703703703704,0.0014950617283950617,0.0011549382716049383,0.0008441358024691358,0.00047993827160493826,0.0003246913580246914,0.00023611111111111112,0.0001765432098765432,9.84567901234568e-05,2.5e-05,6.790123456790123e-06,2.469135802469136e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.4517015871635808,1.31951,0.5188527316656419,1.0,5.91131,2.30514712843911,7.493274473440806,3240000
himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,salida_dem_surfaceRoughness,0.016953395061728396,0.09507253086419754,0.11978981481481482,0.12217901234567902,0.12005617283950618,0.11274567901234568,0.10065956790123456,0.08728302469135803,0.07084104938271604,0.053939506172839505,0.03698827160493827,0.024987345679012344,0.015648765432098765,0.01015216049382716,0.006159876543209876,0.0034555555555555555,0.0017385802469135803,0.0008827160493827161,0.0003308641975308642,0.00011234567901234568,2.3765432098765433e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08650430512174694,0.07980605,0.04821034195737021,0.00339386,0.312828,0.7017884489201538,0.16195351197697683,3240000
himalaya_tile_27.082269_27.582269_90.7881686_91.2881686,salida_dem_tpi,0.0,0.0,0.0,0.0,0.0,0.0,6.17283950617284e-07,6.574074074074074e-05,0.0010117283950617285,0.010315432098765433,0.04983858024691358,0.14566327160493828,0.33380462962962965,0.2987367283950617,0.12207561728395061,0.03462777777777778,0.0036373456790123456,0.00021697530864197531,5.246913580246914e-06,3.08641975308642e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03827214838021649,0.6620820000000001,60.19831247373095,-309.491,320.088,-0.10507071106473523,0.3488473207384559,3240000
himalaya_tile_28.582269_29.082269_82.7881686_83.2881686,salida_dem_branchLength,0.003791975308641975,0.011507098765432098,0.05278796296296296,0.1296891975308642,0.15497654320987655,0.15019537037037037,0.13015185185185185,0.10111512345679012,0.07434197530864198,0.05473796296296296,0.03892530864197531,0.027995987654320986,0.020303395061728395,0.014366049382716049,0.010666666666666666,0.007644135802469136,0.005458024691358024,0.0037246913580246915,0.0025503086419753087,0.0017867283950617284,0.001101851851851852,0.0007200617283950617,0.0005453703703703703,0.00035987654320987657,0.0002574074074074074,0.00012993827160493826,0.00011141975308641975,5.7407407407407406e-05,3.08641975308642e-07,0.0,0.0,0.0,3.5175975642561763,3.13503,1.700275049579537,0.0,14.7787,1.3578260145264522,2.7289680571540202,3240000
